"","p_cntrl5062","p_cntrl8512","p_cntrl5029","p_cncr7136","p_cntrl2642","p_cncr2935","p_cntrl1116","p_cncr5626","p_cntrl1317","p_cncr3717","p_cntrl2476","p_cncr5310","p_cncr8118","p_cncr3092","p_cncr2842","p_cntrl9875","p_cncr9894","p_cncr6814","p_cncr5676","p_cncr1313","p_cntrl8815","p_cncr4019","p_cncr4932","p_cncr8502","p_cncr9042","p_cncr8563","p_cntrl3243","p_cncr1633","p_cncr3976","p_cncr8561"
"01001011011010111101",13997,682182,272874,3262423,1436865,154,92712,78586,17,1445014,1339,25484,15584,322117,1775738,1350035,123518,410696,78423,25,86554,3951,433044,53,1211,66465,149470,15028,729921,89446
"11011101001110100000",68335,2330,83,1142485,52531,8379,283,12899,4225680,8234,692,2695,20767,179353,10010,7767,8740885,21340,1368,69430,907,513,1642,13808,32255,618941,164,9456,984,410822
"11000100100101101101",118482,1729,29335,328537,2674354,410297,899728,2975,2729,937725,339093,7027005,4013,855,56728,938,36586,8958,6515758,182,60,1532139,94597,86667,5638,4385,591756,30914,296780,1070827
"01101100110001000001",15066,2167,74495,8163,41461,4871,342194,20050,4442531,98,164782,3848,14248,13868,290542,5337,18197,5479,61,7,65594,1,6728,2597,64727,380,3345,1229,12792190,28433
"01111000100100101011",132,22080,2,2821,32168,87800,118074,1779,1948759,1328,37485,36573,354927,25230,20440,44078,3052196,169519,834,45,126189,23042,5460,32207,474537,75403,648553,711,3351187,10587
"11001010111110001000",21006,1570,278252,305,138741,110701,174649,5184,108491,1802132,10574,9700,9754,97293,3523437,246086,693714,32807,111290,100,14014,1685,18845,1496,3979,2799,1803,918,130265,97897
"10011111111100010100",10202,20837,333749,3004,21418,6666,894429,7643,375278,287,465626,75257,7755,213843,45949,177185,242234,237800,2614,20342,6748,59857,425,6441,61052,3312,35915,3246,3826,97608
"01100100010000101100",194283,2664,57370,72603,18657,2339989,1327,1176101,152686,10219,15926,71851,438220,116201,13960,19970,215028,5334,8198,30941,10156,716498,4029213,26252,71271,6854,301901,95294,1058,15089
"10111010110010100010",56,108925,170890,399,74821,194926,4452241,472016,1257089,97305,157503,269894,1294485,268,889840,1493535,73295,1388158,263079,5409,265940,20032,135778,1130284,44577,1183,104013,6195,12278,90534
"01000111001110101111",29363,3521,673,264366,513602,92061,52227,3676,9928,3125,3207214,413148,522,282978,5092,193487,46164,2043,30996,18754,971,146779,13567,17815,5024,1993,163968,8139,1596801,3679542
"00100100000011000010",58178,5805,6942,4465631,48433,45033407,20949,18625,41660,69624,1123,28597,1127,2435921,14833,6763,5252,152057,1440,9746,6771,24033,307575,275222,53680,186576,64357,2716,2039956,11173
"00001111110111001101",76161,83099,121682,17151,19839,14809,44995,148485,712278,587846,34838,220799,35025,5344,86726,93315,296224,41136,346,95616,171768,1018224,11110,291985,5098,4623796,952863,13484,18337,10301118
"01100011110111011101",256698,29705,11116,280226,18073,5809,274182,14562,6553,26469,2102353,80398,2359,850602,188384,192810,75808,16709,265330,5892456,3468192,211,208433,5365,93534,329,181262,14503,98972,21289930
"10011000001111011010",6466,1273,3426,47177,2142330,11904,10233,41224,395605,125534,889,6206,10056,9568,1843,77031,4376,55564,9295,2296,177407,160,8561,168704,25282,15249,357,500,6037,7496
"10101110110111010100",13222,1022898,3877,32129,3298,19360480,2790642,35771,227086,37755,4286,213466,14034,474955,49483,623502,29394,10719,247,58281,2419443,1344126,24425,6556,1206,187849,23749,2316081,56526,228663
"10000010111001010011",29307,306649,60694,779,166,43135,141698,20087,1386383,1046592,556997,736,11029,25560,626,468777,456602,175961,3801,45510,92675,20,187063,1408,4914855,159,8370,3459,18264584,58676
"11010111010000101111",30034,173056,16148866,431450,1734856,3250,3043653,102700,9138,1259,26117,172,16957,45251,11555,5247361,3823,3834975,150955,29446,47111,1203952,165112,173889,13304,7529,6589658,224991,12220,1463
"10010100010000011001",127361,3778,608724,69940,9037196,49450,22883,54734,4455,5504,89257,320,804153,14618,57,754561,56929,818459,491338,164366,84711,371829,148886,8271,301430,6493,322607,265767,11921,3385
"10000011111101110000",29022,823759,2394,75371,9999,3886,910833,4202,440754,4180,2508145,450352,71177,39627,342896,53937,532896,80091,30552,360991,3385,174568,254732,314,28319,97791,613581,9979,101559,6791
"01111010100100110001",31567,211616,124537,35455,10604,3218,52275,618,1269,781,336276,95893,65888,5794,6703,1039,3078,709,5393,1425586,45228,697,358626,4421577,14267,9124,1508,74814,11954604,3075
"11010010011100011111",21626709,1852218,49977,48686,145418,405075,34432,89329,485166,86570,519149,5989,501347,4654,3960,909881,977925,26160,6258,211792,19242015,24292,229926,28492,517,853739,1115,10151879,5334105,493942
"10101111001011010101",2181,4301,54661,117638,40558,260402,58146,251998,242922,3971,3700,118591,5015,5806,46,12633,123695,38880,3693,109559,923,4320,99729,69697,12045,11233,44526,1319,40632,17343
"01110110011100110011",1613,282,1595357,33373,84928,29842,340036,4139,157885,5632,3444223,53567,54059,25581,5735,8847,230494,349822,64300,11936,28670944,23,185272,1842,26527,691892,6597,3760,493431,6598
"00101111000101010110",335,331365,5543,119634,9914,1038978,205764,179746,95841,3472,2112879,94049,1710,27297164,88837,4045,268916,7688,43681,250305,131606,21233,91161,251171,99814,389,4351618,497460,2027,108637
"00001000110010111011",39123,43,565,3304,821771,249735,152134,3340,83748,42218,1365,5946,27700,40,85663,4482,673,23831,875,50,166817,1389,5463,705374,245665,1906,12511,68,4696469,62294
"11010011011111001001",2213,11573022,1769,67902,1191,4644,18196,638507,145028,97756,288281,5961,443310,83598,480222,97510,3329,3120126,92880,20901,872,205586,43355,20222,18927,16358412,100096,47594,4416830,8505
"00100100001101011110",769147,26848,6661,105190,15277,111324,3420,292980,5638,46405,842774,220058,130465,4435,41235,104604,120074,6414,449650,1212331,14139,202551,13214,1806356,4903,989342,9007,9733,2667355,2863
"00010100010011001001",51174,9455171,338194,100,123853,96855,96429,50808,4945,18789,27641,121919,21546,105951,25862,447413,208231,8259,11611,1338967,7566,1235,33955,165071,66583,6671,27645,629572,364256,18106
"11010001111011011100",33687,1021,569643,2183502,34356,52163,817,265770,46387,75606,2090,140597,779,4379828,116249,2611,94551,492901,20072,4164,15089,1614578,2362490,1073880,17430,19765,116378,6513006,6923,2050
"11110001010010001000",46595,17526,425568,1382360,29019,18806,225995,2918,6994,41027,109,261472,462209,440881,336884,189323,28811,16343,45630,160612,24140,4312394,11505045,10759,544247,3052095,34792,99351,109586,1196
"00100000100111010011",326222,170,302220,49413,73774,339276,109657,23895,8185,348,3147,803,30916,81358,112753,790,192832,747530,3739983,633,27436,4317,983,28390,12734,52589,23637,3946,1807,19034
"00110001000111110100",126,4038,2819,43694,76073,326346,128210,214450,1926553,1376603,44349,3766,146596,11408,4972,479,48036,14045,49269,135418,44670,66,7227,138224,150050,30546,16793,801942,93545,1226296
"10101110111001011111",37909,5869597,212557,2908092,12428,97906,9673,1837,93986,61573,92944,29417,1991493,15273,161848,83183,40557,458462,667472,46333350,70746,85346,93523,80902,8675,759797,268161,1020,51282,118229
"11110011110001100110",65810,233850,1341936,1078806,819,14579,489914,7264145,67379,509538,22234,452206,194,263124,462093,38254,312863,39970,569772,18821,141736,429190,98847,10079,586440,541770,99780,222904,4670,2735306
"01010100101110010110",705101,5328,2157,277,1683159,2812,2213,143819,198104,326957,4506,78917,294759,39525,226,2254326,2943049,41891,54337,1091856,37806,69692,826888,198487,3378,17617,2201362,80067,79288,40466
"00011111010000010000",11626,11518,373783,313171,67116,513343,385622,1553318,16924,240373,7341,69899,5029,178718,699,13688,2284424,321003,7677,732214,349279,4849,103867,21712,2285286,15348,87851,1950097,2284,87505
"00000100000100010110",362814,74622,4664291,292346,122062,14188123,47004,3255954,422010,355526,190904,998,19659,75862,26676,655841,173784,1686,296061,20064,275,25945,116288,35862,2384022,641636,23843,41251,29962,6114144
"01001100010100011010",401,26949,9,538,22463,23689,3602,102259,928531,15,13651,361,3177712,292,44720,22213,1046352,459348,155236,445,11276,361,6454,99108,16249,14799,1834,41,1097064,82105
"11100010111100111010",12205,349096,253291,2774771,4733,399802,82750,4347,12436,2320983,154751,1351,13454,267081,3341,16558,2756,390,10098,26083,2335,716782,86258,4353,5225,67516,11466,833589,7204,1351
"10111101001001111111",39726,245242,74,20632,10273,161981,86658,320855,6158,661,2,416738,106472,77246,407102,1362,541,3831,1270,6830,819,120902,17302,2722,44431,18853,23818,135,272013,4961
"00101010110000101000",355924,114764,10171,109491,83308,56311,6655,730515,28962,7726268,529978,14638168,763674,23160,2291,8690,310632,654461,5224,684555,50990,92456,24194,6274819,16340,3136309,385418,1217,128116,1313563
"00010000110100000101",4336,7115,271804,75880,25750,1937,617114,1986,120331,29485,244405,68677,204869,28559,6305,296803,26415,1410937,232934,37027,2907,9183,3561,33770,6778,7711,21870,16265,1684093,5259
"01100011000100000100",2209912,15254,10090786,57344,426740,3942,85246,1505,97961,21059,58872,1486526,7339,66828,2481,50122,50399,1216,84069,441394,36390,4729209,21131,21694,468,197,29893,1449,544,147365
"00001000011011100101",108909,3355,7469,12072,4730,119493,15681,10415,698301,5,1805,209,1289642,4065,98126,48,1116,71147,6779,414,42099,21,1643,24868,446375,48,2305,739,34370,46
"11101110110101000010",17076,412363,49532,17324,101999,176031442,97030,2335,36987,1338380,6005,2795828,11263,842491,16211,46152,508326,2672,38503,3240,312109,1351,307015,29788,1624,2685704,17289214,79302,126676,55975
"10011101000110011111",30071,1222,1782,11289,259,4488,545292,62730,508641,1128,748,699,116041,64420,56564,54758,175697,128082,1205896,883,1748,43,85610,17343,136492,197,1247,34,7322250,1958
"11001101100010100101",13924,76460,6311,6621,172674,280430,233229,14072,210320,7,2339,118,3851,124,42863,998,573754,5190,271116,70,11064,4331,29613,168358,1244,65695,786,715,7930236,686335
"00100011101010110111",2130804,8395,1322934,550,116121,1031,1358128,608,761011,23263,112919,70359,85590,12492,2415,188,241292,33310,93056,27480,1018597,5066,4739298,11390,153123,12114,122632,4023308,2490096,2251
"00101010100100100100",11003,36489,2230,170431,19219,4215,1691,14782,1112430,2202,50700,7673,107430,123386,129348,366035,49675,424,52256,102514,22176126,6673,166601,69638,76253,18814,7901,8993,52010,86129
"00111010101001001011",25187,165616,2149,125999,2019409,1636231,389,12376,6965,17697,978,178595,131360,52075,229120,159534,9676,23130,36597,2548773,1866,142175,8218,536955,3213234,20240,999200,293040,20529,209066
"10110011001100101011",70166,258656,2052914,24231,155588,95630,111904,6218,389086,245848,1620,73055,3795,23181,62714,140372,3437,26094629,231629,4086798,8402,17634,61263,66010,2581,8628921,675640,43791,66883,133061
"11110111001110011110",1559009,25308,74683,565965,64342,300577,538466,1084607,115077,1245358,10972,36259,6375099,29026,378008,183630,10246,21307,94801,96897,3118,389050,337694,2462,1890651,38086,110589,12064,247216,8637
"01000011111101010010",215214,25015,1190782,55385,5313410,38153,18226,20473,4659,153179,199623,435600,303941,14832,168650,51421,24757,104714,8052,4025,346398,296224,75658,336751,854,23070,239454,1688,1059121,289268
"01110110100110100001",225248,5443,4610,11501,130646,10495,3966,4855,95459,3394,35617,116855,1761367,605,537,4392,27235,8171,89062,5807,243268,496797,47427,283,921,26,36406083,24297,788805,4349
"11111110111110101111",11463,3519,8989,11121,40000,20076,146510,4074,131,5979,18205,308077,23102,4823659,20093,471387,58298,29217,14164,6515,515490,3904,4312,4757,320929,109976,304681,6892,2111352,194783
"01100011001011010101",575541,219945,5761168,396215,5592435,868703,305509,129,213667,15582,5537,4883,13129,2436,8862,10475,4084,29121,418,35536,100657,42520,47762,89068,253165,26688,13172,41,5739,86568
"11110010010101101001",109461,124546,375741,40,57674,986602,3167,1381511,1489230,517009,15120,15411471,69054,507082,1377382,7244,30558,6174,1740705,29037,10450,115727,3822,1644567,4578138,225927,3139891,9609,29910,1612590
"11110110111101100011",1884297,4834759,49451,61757,4385606,24627,420054,60042,280189,21061,13628,36767,1929,305527,14734,377,31555,204079,110,174,27856,22124,54013,6148,3752657,4109,173662,576734,144210,41010
"10101111001101100111",183207,47992,59482,622910,18118,1081734,72330,20846,450317,418,5699,275,1101509,944,5569,3586,17232,3193958,25491,9637,13109,7801,430923,52441,162955,13170,200815,937,486818,173631
"00100100001000001100",35049,21022,345263,20893,157171,9235,9024,1204419,203585,1031131,101772,16380,95857,3401,14923,59858,1455265,102649,1108149,21234,94041,119988,5432,26647,6009947,10210,191302,97396,3411,155531
"01101010100100001110",551,41225,61487,1118510,293,1149,1123231,32418,11140,50270,703,5781864,14756,11025,11421,1413759,509233,9332,117850,19686,2389,376479,2171011,361610,62976,330361,15400,142325,47197,111726
"10000110000001011010",13560,2789,119692,18156,82533,156176,138076,249226,16334,19211,1648604,1713298,3677,1406,225923,52978,21301999,133349,5010755,5376981,385703,1498,360701,953982,395217,6075,49825,653,33563,1503
"01001110001001010001",184510,7204,1341560,1013328,52041,85516,1057638,15261,94849,149,579773,158195,94254,6475,77219,18933,58453,7972,1398,25512,16117,3198,20943,6260580,62852,3470,50750,21613,1150462,499
"01010010001000010111",15448107,80313,8983,3976,273963,143868,70083,1513,352273,1662,33938728,64,22745,499,5441,332,120971,1129,15646,15572,59668,73,457,160622,689736,574378,143830,2241,34459,160249
"11011000000000101101",327,4341,239,1621034,103267,5279,20976,1794483,222172,219555,9607,33156,714746,2367,156401,405,132074,26504,99372,890,18442,25142,659,3732,4917,256704,35251,1605,524028,5978
"01110110100011000101",7158,14992,248804,602397,3005,182855,882963,2212036,32170,7767,807750,1235,27934,17707,6364,424070,2178,3348,338003,90,41235,824,1079229,3454026,63233,81630,2041379,2861,3095651,288
"10001010110101010100",1843167,624984,324391,274566,3351,4399,58301,123655,112490,1902,630605,36246,172802,80090,956817,90624,178468,16827,4261763,9062,91997,1261220,88122,3472570,3507,26176,25607,13043,63215,14802
"01010010010001011110",299034,498552,153983,264774,3070,4045,1605440,37603,37120,1031,350537,14385,167199,1725791,188370,96266,1650618,27326,23134,15998,73598,10118,579,24216,196223,19140,1711006,7262,1285,9384
"10101101000100000110",96836,1318,54851,51038,252217,1184650,29020,38819,674087,17250054,888,6379,796804,322,2540888,575813,1039,36455,427,1473,78,203,30787,413128,28998,917,107588,17386,21907,446
"11101111000111001110",9222204,2681,232718,22375,31480,3641,106,4050,6072,35000,153185,623218,1317378,20243,2039084,106160,19586830,11779,415100,14415,34713,125475,419,798,89472,488194,14268,47110,209998,207174840
"11011111001111010110",28273,81405,367737,1674503,25450,4363,12481891,9451,73708,2016810,106711,383606,140453,350485,244144,15221,588871,180605,270637,185241,1010,29432,15013,768679,1966,1442472,24913,526,643259,17627
"11000101111010001111",2845,7814,27494,44766,611346,661,607479,113,3706584,44222,8116,2800,214,64755,2888389,49351,223090,410092,240182,299404,526,99544,816,1593196,13927,1022617,1652417,117852,14604909,5795
"00000110101000100011",1360173,353,2931974,906220,40425,3493,8990,31008,11319154,857,287807,6449,13158,1816,158537,48687,110434,203596,66754,14859,149961,22184,1139,4244,27482,30107,1187469,7140882,22599,2085
"10011111110110001100",1184586,552928,35175,27255,144885,427,3993092,73980,45141,270803,3041,66054,33781,7433559,58681,4786466,229224,3783,1621547,492386,706672,37448,1383,12080,708042,725675,2498,4602,76962,471115
"00010011001111000100",1396,187016,149132,1756133,145327,5608,3549894,35562,2264,150360,9513,51150,2449879,10588,840234,47263,62620,70288,5992732,15913,148385,2445285,30926,251608,47379529,52999,260221,182269,480443,12594218
"11001001110000010111",574625,73210,4683,2539,3265,14505,15768,935,2908337,652,8562,6735,10696,25245,2533,659,424548,2460,2457,57,10335,84,28230,1032,156749,3663,28774,382,745329,75
"11000110110011110110",5273695,12305,138485,1834,1881202,111,7244,16881,8687,264364,348285,11335,15061566,3898,19191,14721,36186,770515,14023,771786,8114,13887734,1783,57713,105509,995055,7473,273808,11836,85909
"10101001100011110001",3460279,21722,4092,32771,1379,43668,1595099,3717,1462400,33469,1832,680,3202,103,381238,26180,18619,382,98936,5,67907,672,15516,1423,80705,11577,6631,2270,2413854,81361
"00100111110000000111",3897194,7225,42583610,169072,6627,175049,6182197,681,359668,111262,349060,24426,7119,216831,37557,35373,16150,849197,5712,2666,11647,3790,394,1962,23184,3883,277109,748661,1749650,34215
"11001000111110010101",58378,58,1940,234703,34999,13044,3334864,371037,20736,6173,180205,72,52387,818,16613,282,38059,25021,8778,47,4859,5587,393,18601,10899,134,14241,349,1860081,965
"01111111110110000001",22975,624,49840,155415,1514871,35169,279461172,158,135878,1919919,396689,43185,318437,355123,342117,8980,260803,221008,131143,302498,3693,1325,178199,32,455597,408,165717432,76284,5775388,109377
"10000110000001001101",1592245,15534,8491,1152615,27463,97328,492027,18617,7825,132751,17407,95286,822,61144,872192,700001,7178,143600,24382,178,7221,42643,592783,268535,5847789,19409,185857,45589,31504,4998
"11101011101101101011",1212,137,898043,270,48381,446757,49703,73954,3726,613067,3384,1131454,56721,151393,202649,292415,532352,4441,1223131,1341257,2118,120433,886639,1416,469656,205,149846,308045,362322,18267897
"11001000000011100110",963311,62828,212,1804951,690221,67867,26158,699589,1570717,222790,421,404,32200,208654,79702,346,166598,134109,32576,426,7255,13657,7894,75420,25414,126573,164757,291,1786497,20052
"10101110100010011010",87572,1561,16042,28312,132865,3015,2589,61142,2521,861,318431,34677,36967,1277756,33045,181041,35414,7809525,16054,10434404,32079,8651,968,25938,1957,69870,211524,359355,748224,14163352
"11000110011100101100",239108,2457,5428,3438,25974,1745316,948,667852,97861,255817,118632,16723,435,7463175,343960,31448,125594,2086115,70197,155417,32,681113,56383,6420,183924,2268,163611,6142,324930,383828
"10010010111100010001",343885,9578,7786064,24069,236265,4995,836605,56768,911232,10956,1793674,5570,2645497,168716,21916,34989,19125,8624,3486,5623,9460350,94095,52045,8303,58203,47821,1415820,8250,10544,78841
"00011101101000000100",2232,489,2694,541557,89067,8292,605,196094,98784,453,79173,3341,27504,60,57509,55411,2647272,2376,30884,983,319,7819,729,636659,14278,8137,522,1441,4115194,134512
"10011111001110000111",981,429354,1229489,5640,18175,63228,4447,1955,649017,10647,68085,51571,218864,1055,21037,9069,10497,7946121,3580,64387,39668,33462,54408,150474,3649,305,112614,241074,305340,797
"00010110010001000101",90336,448478,41574,40912,12871,30219,77753,8685,2136576,46502,8599,2097,150766,307151,138695,2771,590764,8561,57662,816,16448,152240,81110,8257,11668,46489,96771,65535,7073,60828
"10011100000110111001",2138,91,4781,7959416,414902,54035,345308,4943,55013,2713,2760,618,31983,428038,1705,614,913,4,214572,123179,176,811,8549,247924,70956,12939,4753,772,3884460,124
"00001101010001001100",1004,530,17337,18461,52238,69055,185813,1158,7240257,285215,156,2912,1341,15804,10111,1133,117939,2685,3575,33,486,1657,3082952,6262,28632,7521,17,3756,51176,900
"11000101010001001100",11014,410745,906,764,6058,8851,279029,184407,30833,15252,480,3074985,248270,301583,86203,30686,4214,1263081,32608,61922,5828,42445,2014,6966,573832,113071,10531,17014,147693,1466
"10111110101000101010",184712,6739,7957,2174,13217,6429655,178083,450409,28728,8944,10913973,3255,837216,1037959,283151,77986,468740,28867,101537,336000,2773999,5071,3029,1632,8721,86191,4267,1532373,2914,76627
"00001000011010110001",8299,723,593,54705,690,519129,343490,5486,5849771,3592,4613,1028,208353,551,609379,34682,133,533,6134,328,2389727,780,57,47203,23648,47005,956,0,548265,324
"10010001011010011001",63823,43998,357248,506,28053,44017,657926,36835,138428,23,553677,383834,329751,7512,5412044,18539,212116,57215863,759332,292,260,32430,27954,245963,77765,26023,15649,464147,14968,15815
"10100001111001011110",83840,1178,523633,295419,602359,31934,7599,67387,9791,189337,93101,4461,1189668,67627,1329801,151,14335934,45151386,5288750,118525,1000582,1517354,61308,137278,1542863,135167,311435,2813,24852,9765
"00100110001010001100",100483,16037,686,39548,8168,27206,17214,6882,79646,410659,415695,1748,628891,21394,160440,703249,9721,111753,221720,2717,33596,11875,390962,81599,11047,182727,1852238,23713,653855,24708
"11010000110010111111",39887,549,35106,528949,4421332,1760,691045,944800,15998,2203975,320522,24811,173754,55923,1391045,7399292,15241,34008,1532316,104714,110727,4236,3933487,417949,200545,4784,27447,969005,2825,24899
"00100001101111110001",2397643,93374,331154,43734,16759,24014,6401664,22022,39755,3397,986652,1596,12815,40521,69351,19971,40612,53812,259061,182300,513126,118,29124,28,3089,91336,43660,813452,98565,11863
"10110111111110011011",160458,3118,21780,253933,63010,1025,7109,14810,6785,277470,51640,2117,44695,2295922,23451,70919,35788,102475,7845,116107,6373,1977283,345556,585073,740,26587,32244,179272,2217,35412
"11101101000101101101",64964,24109,156,343125,3970,60978,2647,425,2824637,3357,1250,39306,194637,270,22222,422475,1705,176930,104599,12,431231,2207,45260,740555,2582,20817,13677,30,55172,234284
"10000001110011101011",16407,582838,16492,61748,178278,56760,164189,3284172,156246,1047,45345,716088,466769,11447881,1075195,80775,2757,7010,105138,663,277272,1689153,1055562,1522404,574412,78034,348299,8237,8145884,6839
"01000110100001100000",4262602,9896,33482676,269707,46299,2099806,660670,517696,303748,2917817,13528685,3351,88491,30190,323424,2421716,165713,7427563,2278445,34559,6470,1648,28623,209796,2451,33036,22851,172335,3973,10523
"01111101100111000110",164985,12787,118,210467,11088,164872,5797,309707,191117,20827,1236,8393,1353764,1538,1508,1165,214173,2219,803526,29292,5362,16488,10659,520,67173,1793450,1419,9,9630741,1160
"11001000001100101101",385,12135,22088,41101,9350,131494,206758,14672,81341,7202,15219,2379,14953,4215,5307,10306,476725,1910,22522,1619,1283,109,10347,109,333968,129285,746,102,2820702,2975
"00100100011001011011",16550,120245,666,173,338862,44985103,1165,8884,2083696,88334,274467,765406,357,1147,55111,6967,24920,404901,17225,12118,1040,40690,4100,22110,180360,670822,74938,11558,43268,740136
"01100001111100100000",14537,1409197,10701,251489,4926,102353,307862,36097,3922,298126,28351,1927263,18265,1940838,7454,109695,6651,406770,13199,363564,130256,91917,1316,154813,362059,608784,2586,119521,19186,159282
